trade_group,trade_id,entry_text
Preview,1,Sell 10y SOFR swap at 3.45%
Preview,2,"Notional: 10m
Client pays: 6M Term SOFR, semi-annual, act/360
Client receives: 3.45%, semi-annual, 30/360
Start date: 10 November 2009
Tenor: 5y"
Development,1,"USDEUR cross currency swap (fixed/fixed), 10 y maturity
Client pays 2.3% USD, we pay 1.7% EUR"
Development,2,"EURUSD cross currency swap (fix fix) with 5y tenor where client pays EUR 6% coupon, receives USD 7.5%
Both legs are semiannual and 30/360"
Development,3,"I have trade details
Profile: USD Interest rate swap
Tenor: 10 years, both legs quarterly
We pay USD fixed 3.35%, client pays SOFR"
Development,4,"Sell SOFR swap at three point five percent, maturity November 18, 2027"
Development,8,"SOFR swap, we receive fixed, 10y tenor starting on Nov 19, 2024"
Development,9,"Vanilla swap at 2.90%, we pay fixed, 10y maturity"
Development,11,"We receive 3.5 on 10-year swap, will pay SOFR plus twenty basis points, effective November 18, 2024"
Development,13,"Executed trade receiving 4.50% fixed vs 1-month SOFR on $100mm notional, 2-year tenor, starting December 20th, 2023"
Development,15,"Paying USD, receiving JPY, 2-year tenor, minus 32bps spread, ¥5bn notional"
Development,18,"Executed 2-year basis swap
Paying EUR, receiving USD minus 85 basis points
100mm notional"
